Frame,Time (Seconds),X,Y,Z
203,6.766667,0.387797,-0.00105,0.140148
204,6.8,0.387768,-0.001266,0.140928
205,6.833333,0.387835,-0.001261,0.14152
206,6.866667,0.387802,-0.001272,0.142299
207,6.9,0.387866,-0.00138,0.143275
208,6.933333,0.387902,-0.001442,0.144335
209,6.966667,0.387949,-0.001416,0.14505
210,7,0.387987,-0.001492,0.145558
211,7.033333,0.388025,-0.001454,0.146081
212,7.066667,0.3881,-0.001413,0.146705
213,7.1,0.388124,-0.001429,0.14718
214,7.133333,0.388127,-0.001432,0.14712
215,7.166667,0.388132,-0.001346,0.146856
216,7.2,0.388144,-0.001423,0.146979
217,7.233333,0.388148,-0.001394,0.147081
218,7.266667,0.388156,-0.001397,0.147019
219,7.3,0.388143,-0.001416,0.147015
220,7.333333,0.388143,-0.001384,0.147047
221,7.366667,0.388144,-0.001418,0.147036
222,7.4,0.388148,-0.001394,0.147038
223,7.433333,0.388142,-0.001406,0.147045
224,7.466667,0.388137,-0.001412,0.147052
225,7.5,0.388139,-0.001396,0.14705
226,7.533333,0.38814,-0.001418,0.147049
227,7.566667,0.388127,-0.0014,0.147063
228,7.6,0.388137,-0.001412,0.147063
229,7.633333,0.388147,-0.001412,0.147061
230,7.666667,0.388152,-0.0014,0.147054
231,7.7,0.388153,-0.001416,0.147067
232,7.733333,0.388146,-0.001406,0.147063
233,7.766667,0.388147,-0.00141,0.147067
234,7.8,0.388154,-0.001416,0.147065
235,7.833333,0.388153,-0.001404,0.147067
236,7.866667,0.388148,-0.001415,0.147074
237,7.9,0.388148,-0.00141,0.147072
238,7.933333,0.388159,-0.00141,0.147075
239,7.966667,0.388167,-0.001419,0.14708
240,8,0.388154,-0.001406,0.147074
241,8.033333,0.388145,-0.001415,0.147074
242,8.066667,0.388158,-0.001417,0.147075
243,8.1,0.388186,-0.001429,0.147115
244,8.133333,0.38822,-0.001444,0.147003
245,8.166667,0.38842,-0.00133,0.146731
246,8.2,0.388464,-0.001132,0.146306
247,8.233333,0.388598,-0.001101,0.145888
248,8.266667,0.388745,-0.001031,0.145606
