Frame,Time (Seconds),X,Y,Z
304,10.133333,0.206845,-0.002405,0.302022
305,10.166667,0.207095,-0.002089,0.301827
306,10.2,0.207412,-0.00167,0.301502
307,10.233333,0.20764,-0.00159,0.301548
308,10.266667,0.207888,-0.001609,0.301922
309,10.3,0.208241,-0.001399,0.302423
310,10.333333,0.208462,-0.001417,0.303257
311,10.366667,0.208446,-0.001739,0.304543
312,10.4,0.208649,-0.001647,0.306604
313,10.433333,0.209221,-0.001733,0.308413
314,10.466667,0.209438,-0.001826,0.310005
315,10.5,0.209556,-0.001743,0.311336
316,10.533333,0.209727,-0.001749,0.311609
317,10.566667,0.209831,-0.001847,0.31114
318,10.6,0.20984,-0.001886,0.310978
319,10.633333,0.209999,-0.002015,0.310985
320,10.666667,0.21014,-0.002094,0.310624
321,10.7,0.210319,-0.002141,0.309255
322,10.733333,0.21043,-0.002364,0.307141
323,10.766667,0.210547,-0.002208,0.306207
324,10.8,0.210632,-0.002401,0.306478
325,10.833333,0.210687,-0.002629,0.306183
326,10.866667,0.210788,-0.002553,0.304889
327,10.9,0.21084,-0.002648,0.303916
328,10.933333,0.210876,-0.002721,0.303865
329,10.966667,0.210933,-0.002682,0.303708
330,11,0.210935,-0.002743,0.30303
331,11.033333,0.210917,-0.002673,0.302626
332,11.066667,0.21091,-0.002623,0.30297
333,11.1,0.2109,-0.002659,0.303149
334,11.133333,0.210908,-0.002618,0.302827
335,11.166667,0.210895,-0.002654,0.302754
336,11.2,0.210888,-0.002603,0.303028
337,11.233333,0.210883,-0.002607,0.302938
338,11.266667,0.21088,-0.002611,0.302747
339,11.3,0.210878,-0.002589,0.302908
340,11.333333,0.21087,-0.002611,0.302974
341,11.366667,0.210874,-0.002584,0.302797
342,11.4,0.21087,-0.002605,0.302815
343,11.433333,0.210869,-0.002594,0.302971
344,11.466667,0.210866,-0.002579,0.302859
345,11.5,0.210866,-0.00259,0.302781
346,11.533333,0.210866,-0.002574,0.30291
347,11.566667,0.210862,-0.002593,0.302918
348,11.6,0.210865,-0.00257,0.302812
349,11.633333,0.210862,-0.002584,0.302842
350,11.666667,0.210862,-0.00257,0.302922
351,11.7,0.210862,-0.002566,0.302852
352,11.733333,0.21086,-0.002577,0.302818
353,11.766667,0.210859,-0.002564,0.302891
354,11.8,0.210857,-0.002578,0.302876
355,11.833333,0.210857,-0.002567,0.30282
356,11.866667,0.210857,-0.00257,0.302858
357,11.9,0.210853,-0.002558,0.302886
358,11.933333,0.210854,-0.002563,0.30283
359,11.966667,0.210857,-0.002569,0.302837
360,12,0.21085,-0.002567,0.302882
361,12.033333,0.210778,-0.002509,0.302769
362,12.066667,0.210539,-0.002149,0.30266
363,12.1,0.210271,-0.001565,0.302585
364,12.133333,0.210156,-0.001504,0.302197
365,12.166667,0.210084,-0.001612,0.30223
366,12.2,0.210039,-0.001595,0.303055
367,12.233333,0.209845,-0.001317,0.304886
368,12.266667,0.209604,-0.001363,0.307823
369,12.3,0.209201,-0.00158,0.311898
370,12.333333,0.209055,-0.001683,0.315292
371,12.366667,0.208979,-0.001892,0.316597
372,12.4,0.208937,-0.002005,0.317086
373,12.433333,0.208945,-0.002228,0.317388
374,12.466667,0.208843,-0.002239,0.317161
375,12.5,0.208855,-0.002286,0.316905
376,12.533333,0.208614,-0.002488,0.317004
377,12.566667,0.208495,-0.002696,0.316324
378,12.6,0.208157,-0.002911,0.315402
379,12.633333,0.207947,-0.003059,0.314514
380,12.666667,0.207638,-0.003078,0.314075
381,12.7,0.207126,-0.003126,0.313812
382,12.733333,0.206884,-0.003137,0.313112
383,12.766667,0.206624,-0.00304,0.312476
