,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,"d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3",d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker3,d30_30tall_15canal:Marker3,d30_30tall_15canal:Marker3
,ID,"BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","C36B0","C36B0","C36B0","C36A0","C36A0","C36A0","C3700","C3700","C3700"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
20,0.666667,0.054440,-0.013949,-0.006155,-0.998401,0.211526,-0.001215,0.282491,0.000658,0.256391,0.004556,0.286516,0.833560,0.221257,-0.004875,0.269530,0.894508,0.156930,-0.003325,0.291426,0.932985,0.256990,0.004755,0.286640,0.220890,-0.005016,0.269465,0.156710,-0.003461,0.291373
21,0.700000,0.037475,-0.003345,-0.006577,-0.999270,0.211226,-0.001209,0.285534,0.000666,0.255986,0.004472,0.290694,0.839178,0.221233,-0.004414,0.272663,0.900415,0.156458,-0.003686,0.293245,0.933933,0.256580,0.004691,0.290864,0.220867,-0.004599,0.272543,0.156244,-0.003801,0.293201
22,0.733333,0.018306,0.004529,-0.007005,-0.999798,0.210993,-0.001647,0.289130,0.000645,0.255659,0.003877,0.295196,0.836195,0.221202,-0.004345,0.276301,0.893426,0.156117,-0.004474,0.295892,0.938172,0.256233,0.004063,0.295373,0.220844,-0.004499,0.276186,0.155918,-0.004584,0.295840
23,0.766667,0.001497,0.014101,-0.005778,-0.999883,0.210960,-0.001765,0.292092,0.000684,0.255511,0.003451,0.299185,0.833195,0.221406,-0.004051,0.279375,0.892300,0.155961,-0.004693,0.297716,0.938518,0.256121,0.003629,0.299392,0.221030,-0.004208,0.279235,0.155747,-0.004800,0.297658
24,0.800000,0.010829,0.022882,-0.006832,-0.999656,0.210923,-0.001840,0.293093,0.000658,0.255334,0.003597,0.300873,0.840058,0.221597,-0.004341,0.280607,0.897362,0.155839,-0.004776,0.297798,0.940196,0.255915,0.003772,0.301075,0.221235,-0.004487,0.280480,0.155637,-0.004887,0.297733
25,0.833333,0.012774,0.027112,-0.005156,-0.999537,0.210901,-0.002009,0.293448,0.000643,0.255262,0.003309,0.301586,0.842687,0.221673,-0.004593,0.281063,0.896721,0.155769,-0.004744,0.297694,0.942254,0.255823,0.003495,0.301802,0.221326,-0.004757,0.280909,0.155568,-0.004843,0.297639
26,0.866667,0.004536,0.026341,-0.006927,-0.999619,0.210819,-0.002106,0.293786,0.000644,0.255172,0.003255,0.301937,0.845045,0.221579,-0.004443,0.281343,0.892800,0.155705,-0.005129,0.298077,0.949238,0.255720,0.003441,0.302158,0.221219,-0.004613,0.281183,0.155532,-0.005220,0.298023
27,0.900000,0.008275,0.028158,-0.005122,-0.999556,0.210824,-0.002217,0.293465,0.000641,0.255167,0.003036,0.301742,0.843050,0.221621,-0.004687,0.281079,0.896678,0.155684,-0.005001,0.297574,0.942541,0.255727,0.003217,0.301961,0.221276,-0.004850,0.280921,0.155483,-0.005098,0.297519
28,0.933333,0.009877,0.032030,-0.006549,-0.999417,0.210628,-0.002277,0.293295,0.000649,0.254891,0.003129,0.301897,0.841335,0.221528,-0.004756,0.281001,0.897007,0.155466,-0.005204,0.296986,0.940020,0.255457,0.003312,0.302117,0.221179,-0.004914,0.280850,0.155259,-0.005308,0.296925
29,0.966667,0.010307,0.035600,-0.006235,-0.999294,0.210442,-0.002446,0.293041,0.000628,0.254645,0.002941,0.301956,0.847384,0.221428,-0.004941,0.280828,0.899811,0.155253,-0.005338,0.296339,0.944528,0.255189,0.003114,0.302171,0.221086,-0.005091,0.280681,0.155064,-0.005437,0.296278
