Frame,Time (Seconds),X,Y,Z
541,18.033333,0.396831,-0.001753,0.253811
542,18.066667,0.396792,-0.001712,0.253967
543,18.1,0.396649,-0.001543,0.25412
544,18.133333,0.396468,-0.001427,0.254464
545,18.166667,0.396338,-0.001245,0.25483
546,18.2,0.396068,-0.001262,0.255077
547,18.233333,0.395862,-0.001243,0.254633
548,18.266667,0.395548,-0.001302,0.253791
549,18.3,0.394916,-0.001219,0.253031
550,18.333333,0.394107,-0.001215,0.251973
551,18.366667,0.393265,-0.00115,0.250105
552,18.4,0.392318,-0.001294,0.247354
553,18.433333,0.391296,-0.00159,0.243652
554,18.466667,0.390747,-0.001379,0.241766
555,18.5,0.390186,-0.001099,0.240842
556,18.533333,0.390158,-0.00157,0.241581
557,18.566667,0.390269,-0.001612,0.242912
558,18.6,0.390233,-0.001674,0.243719
559,18.633333,0.390291,-0.001773,0.244311
560,18.666667,0.390259,-0.001693,0.244978
561,18.7,0.390345,-0.001904,0.245855
562,18.733333,0.390413,-0.001836,0.246301
563,18.766667,0.39044,-0.001924,0.246726
564,18.8,0.390515,-0.001896,0.247272
565,18.833333,0.390567,-0.001975,0.247746
566,18.866667,0.390649,-0.001878,0.248213
567,18.9,0.390745,-0.001885,0.248885
568,18.933333,0.390861,-0.001828,0.24959
569,18.966667,0.390936,-0.001809,0.249988
570,19,0.390934,-0.001755,0.249965
571,19.033333,0.39093,-0.001749,0.249898
572,19.066667,0.390942,-0.001746,0.249972
573,19.1,0.390938,-0.00174,0.24998
574,19.133333,0.390935,-0.001739,0.249967
575,19.166667,0.390942,-0.001744,0.249994
576,19.2,0.390934,-0.001738,0.249988
577,19.233333,0.390932,-0.001735,0.249993
578,19.266667,0.390935,-0.00174,0.250028
579,19.3,0.390939,-0.001733,0.250033
580,19.333333,0.390934,-0.001726,0.250024
581,19.366667,0.390933,-0.001727,0.250035
582,19.4,0.390932,-0.001723,0.250059
583,19.433333,0.39093,-0.001725,0.25006
584,19.466667,0.39093,-0.001722,0.250054
585,19.5,0.390929,-0.001721,0.250085
586,19.533333,0.390921,-0.001712,0.250097
587,19.566667,0.390921,-0.001708,0.250085
588,19.6,0.390931,-0.001713,0.250103
589,19.633333,0.390924,-0.001702,0.250119
590,19.666667,0.390922,-0.001703,0.250119
591,19.7,0.390923,-0.0017,0.250122
592,19.733333,0.390922,-0.001702,0.250133
593,19.766667,0.390923,-0.001699,0.250138
594,19.8,0.390919,-0.001703,0.250128
595,19.833333,0.390921,-0.001698,0.250127
596,19.866667,0.390918,-0.001696,0.250134
597,19.9,0.390916,-0.001698,0.250133
598,19.933333,0.390938,-0.001711,0.250157
599,19.966667,0.390978,-0.00168,0.250224
600,20,0.391055,-0.0016,0.250279
601,20.033333,0.39114,-0.001498,0.25018
602,20.066667,0.39133,-0.001334,0.250038
603,20.1,0.391365,-0.001314,0.250077
604,20.133333,0.391406,-0.001483,0.250113
605,20.166667,0.391472,-0.001244,0.249704
606,20.2,0.391517,-0.001302,0.24885
607,20.233333,0.391499,-0.001288,0.24694
608,20.266667,0.391116,-0.001524,0.244066
609,20.3,0.390761,-0.001643,0.240501
610,20.333333,0.390574,-0.001547,0.238271
611,20.366667,0.390709,-0.001248,0.237278
612,20.4,0.390891,-0.00166,0.237433
613,20.433333,0.390919,-0.001627,0.238051
614,20.466667,0.391005,-0.001635,0.238817
615,20.5,0.391086,-0.001802,0.23942
616,20.533333,0.391096,-0.001765,0.24007
